"%s was added to your shopping cart.","%s tika pievienots iepirkumu grozam."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"* Required Fields","* Obligāti aizpildāmie lauki"
"Add New Address","Pievienot jaunu adresi"
"Add New Condition","Add New Condition"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","Add gift messages to shopping cart"
"Add product to shopping cart","Ielikt preci grozā"
"Add product(s) to shopping cart","Ielikt grozā"
"Add to Cart","Ielikt grozā"
"Add to Compare","Salīdzināt"
"Add to Wishlist","Vēlmes"
"Additional Product Info","Additional Product Info"
"Address","Adrese"
"Address %s of %s","Address %s of %s"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Allow Guest Checkout","Allow Guest Checkout"
"Already registered?","Esat reģistrējies?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply Coupon","Rēķināt atlaidi"
"Are you sure you would like to remove this item from the shopping cart?","Vai tiešām vēlaties dzēst preci no iepirkumu groza?"
"Back","Atpakaļ"
"Back to Billing Information","Atpakaļ uz norēķina informāciju"
"Back to Select Addresses","Atpakaļ uz adrešu sarakstu"
"Back to Shipping Information","Atpakaļ uz piegādes informāciju"
"Back to Shopping Cart","Atpakaļ uz iepirkumu grozu"
"Based on your selection, you may be interested in the following items:","Balstoties uz jūsu izvēli, jums varētu interesēt arī sekojošās preces:"
"Billing Address","Norēķina adrese"
"Billing Information","Norēķina informācija"
"Billing Information - %s","Norēķina informācija - %s"
"Cancel Coupon","Cancel Coupon"
"Cannot add item to the shopping cart.","Preci nevar pievienot iepirkumu grozam."
"Cannot add the item to shopping cart","Preci nevar pievienot iepirkumu grozam"
"Cannot add the item to shopping cart.","Preci nevar pievienot iepirkumu grozam."
"Cannot configure product.","Cannot configure product."
"Cannot open the overview page","Cannot open the overview page"
"Cannot process the item.","Cannot process the item."
"Cannot remove the item.","Preci nevar dzēst."
"Cannot update shopping cart.","Nevar atjaunināt iepirkumu grozu."
"Cannot update the item.","Nevar atjaunināt preci."
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Summa:"
"Change","Labot"
"Change Billing Address","Labot norēķina adresi"
"Checkbox Text","Checkbox Text"
"Checkout","Norēķināties"
"Checkout Conditions","Checkout Conditions"
"Checkout Method","Norēķina veids"
"Checkout Options","Checkout Options"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Norēķināties nereģistrējoties"
"Checkout as a Guest or Register","Norēķināites nereģistrējoties vai reģistrēties"
"Checkout with Multiple Addresses","Norēķins ar vairākām adresēm"
"City","Pilsēta"
"Clear Shopping Cart","Iztukšot iepirkumu grozu"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation."
"Click <a href=""%s"">here</a> to continue shopping.","Spied <a href=""%s"">šeit</a>, lai turpinātu iepirkties."
"Close","Aizvērt"
"Company","Uzņēmums"
"Condition Name","Condition Name"
"Configurable Product Image","Configurable Product Image"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Atkārtot paroli"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Turpināt"
"Continue Shopping","Turpināt iepirkties"
"Continue to Billing Information","Continue to Billing Information"
"Continue to Review Your Order","Continue to Review Your Order"
"Continue to Shipping Information","Continue to Shipping Information"
"Country","Valsts"
"Coupon code ""%s"" is not valid.","Kupona kods ""%s"" nav derīgs."
"Coupon code ""%s"" was applied.","Tika piemērots kupona kods ""%s""."
"Coupon code was canceled.","Kupona kods tika atcelts."
"Create Billing Address","Izveidot norēķina adresi"
"Create Shipping Address","Izveidot piegādes adresi"
"Create an order from shopping cart","Create an order from shopping cart"
"Create shopping cart","Create shopping cart"
"Customer Address is not valid.","Customer Address is not valid."
"Customer Information","Customer Information"
"Customer's information","Customer's information"
"Data saving problem","Data saving problem"
"Default Billing","Default Billing"
"Default Shipping","Default Shipping"
"Delete Condition","Delete Condition"
"Details","Details"
"Disabled","Disabled"
"Discount Codes","Discount Codes"
"Display Cart Summary","Display Cart Summary"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Display item quantities"
"Display number of items in cart","Display number of items in cart"
"Display number of items in wishlist","Display number of items in wishlist"
"Easy access to your order history and status","Easy access to your order history and status"
"Edit","Labot"
"Edit Address","Labot adresi"
"Edit Billing Address","Labot norēķina adresi"
"Edit Condition","Edit Condition"
"Edit Items","Edit Items"
"Edit Shipping Address","Labot piegādes adresi"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Edit Your Cart"
"Edit item","Edit item"
"Edit item parameters","Edit item parameters"
"Email Address","Epasta adrese"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Enabled","Enabled"
"Enter a New Address","Pievienot jaunu adresi"
"Enter your coupon code if you have one.","Ja jums ir atlaižu kupona kods, lūdzu, ievadiet to."
"Enter your destination to get a shipping estimate.","Ierakstiet savu piegādes informāciju izmaksu aprēķināšanai."
"Estimate Shipping and Tax","Estimate Shipping and Tax"
"Excl. Tax","Bez PVN"
"Fast and easy check out","Ātra un ērta norēķināšanās"
"Fax","Fakss"
"Forgot an Item?","Aizmirsāt ko pievienot?"
"Forgot your password?","Aizmirsāt paroli?"
"Get a Quote","Aprēķināt piegādes izmaksas"
"Get list of available payment methods","Get list of available payment methods"
"Get list of available shipping methods","Get list of available shipping methods"
"Get list of products in shopping cart","Get list of products in shopping cart"
"Get terms and conditions","Get terms and conditions"
"Get total prices for shopping cart","Get total prices for shopping cart"
"Gift Message","Gift Message"
"Grand Total:","Summa kopā:"
"Grouped Product Image","Grouped Product Image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Ar PVN"
"Invalid checkout type.","Invalid checkout type."
"Invalid data.","Kļūdaina informācija."
"Invalid email address ""%s""","Nepareiza epasta adrese ""%s"""
"Invalid method: %s","Invalid method: %s"
"Invalid shipping method.","Invalid shipping method."
"Item not found or already ordered","Item not found or already ordered"
"Items","Items"
"Items After","Items After"
"Items Before","Items Before"
"Load customer quote error","Load customer quote error"
"Loading next step...","Lūdzu, uzgaidiet... "
"Login","Autorizēties"
"Login/Registration Before","Login/Registration Before"
"Manage Terms and Conditions","Manage Terms and Conditions"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximum qty allowed for Shipping to multiple addresses is %s"
"Minimum order amount is %s","Minimum order amount is %s"
"Move","Move"
"Move to Wishlist","Pievienot vēlmju sarakstam"
"Multishipping Checkout","Multishipping Checkout"
"Multishipping Checkout Address (Any) Form","Multishipping Checkout Address (Any) Form"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Billing Address Creation"
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Billing Address Edit Form"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Billing Address Selection"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Billing Information Step"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Customer Address Edit Form"
